Share Name: WES
Starting Portfolio Value: 1000.00
2020-09-22, Order Canceled/Margin/Rejected
2020-09-22, Open, 38.05
2020-09-23, Order Canceled/Margin/Rejected
2020-09-23, Open, 39.16
2020-09-24, SELL EXECUTED, Size: -32, Price: 38.39, Cost: 1241.28, Comm 0.00
2020-09-24, BUY EXECUTED, Size: 32, Price: 38.39, Cost: 1228.48, Comm 0.00
2020-09-24, OPERATION PROFIT, GROSS -12.80, NET -12.80
2020-09-24, Open, 39.10
2020-09-25, SELL EXECUTED, Size: -32, Price: 38.79, Cost: 1228.48, Comm 0.00
2020-09-25, BUY EXECUTED, Size: 32, Price: 38.79, Cost: 1241.28, Comm 0.00
2020-09-25, OPERATION PROFIT, GROSS 12.80, NET 12.80
2020-09-25, Open, 39.22
2020-09-28, SELL EXECUTED, Size: -32, Price: 39.22, Cost: 1241.28, Comm 0.00
2020-09-28, BUY EXECUTED, Size: 32, Price: 39.22, Cost: 1255.04, Comm 0.00
2020-09-28, OPERATION PROFIT, GROSS 13.76, NET 13.76
2020-09-28, Open, 39.03
2020-09-29, SELL EXECUTED, Size: -32, Price: 39.29, Cost: 1255.04, Comm 0.00
2020-09-29, BUY EXECUTED, Size: 32, Price: 39.29, Cost: 1257.28, Comm 0.00
2020-09-29, OPERATION PROFIT, GROSS 2.24, NET 2.24
2020-09-29, Open, 39.14
2020-09-30, SELL EXECUTED, Size: -32, Price: 38.59, Cost: 1257.28, Comm 0.00
2020-09-30, BUY EXECUTED, Size: 32, Price: 38.59, Cost: 1234.88, Comm 0.00
2020-09-30, OPERATION PROFIT, GROSS -22.40, NET -22.40
2020-09-30, Open, 38.08
2020-10-01, Order Canceled/Margin/Rejected
2020-10-01, Open, 38.20
2020-10-02, Order Canceled/Margin/Rejected
2020-10-02, Open, 38.22
2020-10-05, Order Canceled/Margin/Rejected
2020-10-05, Open, 38.80
2020-10-06, Order Canceled/Margin/Rejected
2020-10-06, Open, 38.52
2020-10-07, Order Canceled/Margin/Rejected
2020-10-07, Open, 39.47
2020-10-08, SELL EXECUTED, Size: -32, Price: 40.07, Cost: 1234.88, Comm 0.00
2020-10-08, BUY EXECUTED, Size: 32, Price: 40.07, Cost: 1282.24, Comm 0.00
2020-10-08, OPERATION PROFIT, GROSS 47.36, NET 47.36
2020-10-08, Open, 40.08
2020-10-09, SELL EXECUTED, Size: -32, Price: 40.09, Cost: 1282.24, Comm 0.00
2020-10-09, BUY EXECUTED, Size: 32, Price: 40.09, Cost: 1282.88, Comm 0.00
2020-10-09, OPERATION PROFIT, GROSS 0.64, NET 0.64
2020-10-09, Open, 39.85
2020-10-12, SELL EXECUTED, Size: -32, Price: 39.86, Cost: 1282.88, Comm 0.00
2020-10-12, BUY EXECUTED, Size: 32, Price: 39.86, Cost: 1275.52, Comm 0.00
2020-10-12, OPERATION PROFIT, GROSS -7.36, NET -7.36
2020-10-12, Open, 40.13
2020-10-13, SELL EXECUTED, Size: -32, Price: 40.44, Cost: 1275.52, Comm 0.00
2020-10-13, BUY EXECUTED, Size: 32, Price: 40.44, Cost: 1294.08, Comm 0.00
2020-10-13, OPERATION PROFIT, GROSS 18.56, NET 18.56
2020-10-13, Open, 40.85
2020-10-14, SELL EXECUTED, Size: -32, Price: 40.90, Cost: 1294.08, Comm 0.00
2020-10-14, BUY EXECUTED, Size: 32, Price: 40.90, Cost: 1308.80, Comm 0.00
2020-10-14, OPERATION PROFIT, GROSS 14.72, NET 14.72
2020-10-14, Open, 41.04
2020-10-15, SELL EXECUTED, Size: -32, Price: 41.29, Cost: 1308.80, Comm 0.00
2020-10-15, BUY EXECUTED, Size: 32, Price: 41.29, Cost: 1321.28, Comm 0.00
2020-10-15, OPERATION PROFIT, GROSS 12.48, NET 12.48
2020-10-15, Open, 41.10
2020-10-16, SELL EXECUTED, Size: -32, Price: 40.98, Cost: 1321.28, Comm 0.00
2020-10-16, BUY EXECUTED, Size: 32, Price: 40.98, Cost: 1311.36, Comm 0.00
2020-10-16, OPERATION PROFIT, GROSS -9.92, NET -9.92
2020-10-16, Open, 41.32
2020-10-19, SELL EXECUTED, Size: -32, Price: 41.51, Cost: 1311.36, Comm 0.00
2020-10-19, BUY EXECUTED, Size: 32, Price: 41.51, Cost: 1328.32, Comm 0.00
2020-10-19, OPERATION PROFIT, GROSS 16.96, NET 16.96
2020-10-19, Open, 41.33
2020-10-20, SELL EXECUTED, Size: -32, Price: 41.00, Cost: 1328.32, Comm 0.00
2020-10-20, BUY EXECUTED, Size: 32, Price: 41.00, Cost: 1312.00, Comm 0.00
2020-10-20, OPERATION PROFIT, GROSS -16.32, NET -16.32
2020-10-20, Open, 41.09
